codigo,marca,tipo,categoria,preco_unitario,custo,obs
MOLO000251,Logitech,Mouse,1,25.95,6.5,
MOLO000192,Logitech,Mouse,2,19.95,5,
CAHA000251,Hashtag,Camisa,1,25,11,
CAHA000252,Hashtag,Camisa,2,25,11,Conferir estoque
MOMU000111,Multilaser,Mouse,1,11.99,3.4,
BOHA000251,Hashtag,Bone,1,25,11,
BOHA000252,Hashtag,Bone,2,25,11,
CAHA000273,Hashtag,Camisa,3,27.5,12.4,Troca de fornecedor
CAHA000274,Hashtag,Camisa,4,27.5,12.4,
CAHA000275,Hashtag,Camisa,5,27.5,12.4,
TELG000821,LG,Televisao,1,820,172.2,
TELG000252,LG,Televisao,2,250,62.5,
TELG000373,LG,Televisao,3,378,83.2,
TELG000524,LG,Televisao,4,520,145.6,
TESA000125,Samsung,Televisao,5,1260,378,
TESA000346,Samsung,Televisao,6,340,71.4,
TESA000747,Samsung,Televisao,7,740,214.6,
TESA000108,Samsung,Televisao,8,10000,3000,
TESA000729,Samsung,Televisao,9,720,201.6,
TESA0002010,Samsung,Televisao,10,2000,440,
